CodeCountry;Birth rate(births/1000 population);Current account balance;Death rate(deaths/1000 population)
ZAF;-0.29087745532901865;-0.036933927374360805;2.3122029082606086
ZWE;0.7380630670435022;0.0034519133192445874;2.9800334913260262
SDN;1.2342572976370005;-0.00612170487069174;-0.11918029236079121
SWZ;0.5534751580566024;0.006106963254162238;3.100003057146161
TGO;1.0798248391281582;0.0053314517113059665;0.4086857972478023
TUN;-0.5631903111611779;0.008876006205217326;-0.9329738471740394
UGA;2.3509227668547807;-0.0030196586992666556;0.6086350736146937
EGY;0.1514024850158305;0.0455180290223719;-0.8989824701916679
TZA;1.5074839549987975;0.0017088075134264412;1.3904367442092394
BFA;2.056678674311307;-0.0008816164595865197;1.8203276883980557
ZMB;1.8017280475422721;0.004329749301783283;2.094258197020697
